date,region,state_po,candidate,party,voteshare,candidatevotes,totalvotes,ev,version
11/08/1988,Mississippi,MS,Bush,republican,59.88983679485400,,,,20171015
11/08/1988,Mississippi,MS,Dukakis,democrat,39.067144591622100,,,,20171015
11/08/1988,Mississippi,MS,Paul,libertarian,0.35737021041794800,,,,20171015
11/08/1988,Missouri,MO,Bush,republican,51.831573053675900,,,,20171015
11/08/1988,Missouri,MO,Dukakis,democrat,47.850449162728600,,,,20171015
11/08/1988,Missouri,MO,Fulani,new alliance,0.3179777835954800,,,,20171015
11/08/1988,Montana,MT,Bush,republican,52.071517253072400,,,,20171015
11/08/1988,Montana,MT,Dukakis,democrat,46.19852655644100,,,,20171015
11/08/1988,Montana,MT,Paul,libertarian,1.3801910991757700,,,,20171015
11/08/1988,Montana,MT,Fulani,new alliance,0.3497650913108400,,,,20171015
11/08/1988,Nebraska,NE,Bush,republican,60.162820406219500,,,,20171015
11/08/1988,Nebraska,NE,Dukakis,democrat,39.191038074576900,,,,20171015
11/08/1988,Nebraska,NE,Paul,libertarian,0.38308905233081100,,,,20171015
