date,state,county,candidate,party,candidatevotes,totalvotes
11/06/1956,OH,Auglaize,Stevenson,democrat,4438,15891
11/06/1956,OH,Auglaize,Eisenhower,republican,11453,15891
11/06/1956,OH,Auglaize,Andrews,southern democrat,0,15891
11/06/1956,OH,Auglaize,Other,other,0,15891
11/06/1956,OH,Belmont,Stevenson,democrat,18991,38221
11/06/1956,OH,Belmont,Eisenhower,republican,19230,38221
11/06/1956,OH,Belmont,Andrews,southern democrat,0,38221
11/06/1956,OH,Belmont,Other,other,0,38221
11/06/1956,OH,Brown,Stevenson,democrat,4346,10036
11/06/1956,OH,Brown,Eisenhower,republican,5690,10036
11/06/1956,OH,Brown,Andrews,southern democrat,0,10036
11/06/1956,OH,Brown,Other,other,0,10036
11/06/1956,OH,Butler,Stevenson,democrat,24331,66116
11/06/1956,OH,Butler,Eisenhower,republican,41785,66116
11/06/1956,OH,Butler,Andrews,southern democrat,0,66116
11/06/1956,OH,Butler,Other,other,0,66116
11/06/1956,OH,Carroll,Stevenson,democrat,2590,8506
11/06/1956,OH,Carroll,Eisenhower,republican,5916,8506
11/06/1956,OH,Carroll,Andrews,southern democrat,0,8506
11/06/1956,OH,Carroll,Other,other,0,8506
11/06/1956,OH,Champaign,Stevenson,democrat,3851,12618
11/06/1956,OH,Champaign,Eisenhower,republican,8767,12618
11/06/1956,OH,Champaign,Andrews,southern democrat,0,12618
11/06/1956,OH,Champaign,Other,other,0,12618
11/06/1956,OH,Clark,Stevenson,democrat,17680,46447
11/06/1956,OH,Clark,Eisenhower,republican,28767,46447
11/06/1956,OH,Clark,Andrews,southern democrat,0,46447
11/06/1956,OH,Clark,Other,other,0,46447
11/06/1956,OH,Clermont,Stevenson,democrat,9026,23940
11/06/1956,OH,Clermont,Eisenhower,republican,14914,23940
11/06/1956,OH,Clermont,Andrews,southern democrat,0,23940
11/06/1956,OH,Clermont,Other,other,0,23940
11/06/1956,OH,Clinton,Stevenson,democrat,3382,11301
11/06/1956,OH,Clinton,Eisenhower,republican,7919,11301
11/06/1956,OH,Clinton,Andrews,southern democrat,0,11301
11/06/1956,OH,Clinton,Other,other,0,11301
11/06/1956,OH,Columbiana,Stevenson,democrat,14516,43299
11/06/1956,OH,Columbiana,Eisenhower,republican,28783,43299
11/06/1956,OH,Columbiana,Andrews,southern democrat,0,43299
11/06/1956,OH,Columbiana,Other,other,0,43299
11/06/1956,OH,Coshocton,Stevenson,democrat,4789,14338
11/06/1956,OH,Coshocton,Eisenhower,republican,9549,14338
11/06/1956,OH,Coshocton,Andrews,southern democrat,0,14338
11/06/1956,OH,Coshocton,Other,other,0,14338
11/06/1956,OH,Crawford,Stevenson,democrat,5769,19532
11/06/1956,OH,Crawford,Eisenhower,republican,13763,19532
11/06/1956,OH,Crawford,Andrews,southern democrat,0,19532
11/06/1956,OH,Crawford,Other,other,0,19532
11/06/1956,OH,Cuyahoga,Stevenson,democrat,304558,658032
11/06/1956,OH,Cuyahoga,Eisenhower,republican,353474,658032
11/06/1956,OH,Cuyahoga,Andrews,southern democrat,0,658032
11/06/1956,OH,Cuyahoga,Other,other,0,658032
11/06/1956,OH,Darke,Stevenson,democrat,7138,20585
11/06/1956,OH,Darke,Eisenhower,republican,13447,20585
11/06/1956,OH,Darke,Andrews,southern democrat,0,20585
11/06/1956,OH,Darke,Other,other,0,20585
11/06/1956,OH,Defiance,Stevenson,democrat,3941,12727
11/06/1956,OH,Defiance,Eisenhower,republican,8786,12727
11/06/1956,OH,Defiance,Andrews,southern democrat,0,12727
11/06/1956,OH,Defiance,Other,other,0,12727
11/06/1956,OH,Delaware,Stevenson,democrat,3997,14736
11/06/1956,OH,Delaware,Eisenhower,republican,10739,14736
11/06/1956,OH,Delaware,Andrews,southern democrat,0,14736
11/06/1956,OH,Delaware,Other,other,0,14736
11/06/1956,OH,Erie,Stevenson,democrat,6276,21047
11/06/1956,OH,Erie,Eisenhower,republican,14771,21047
11/06/1956,OH,Erie,Andrews,southern democrat,0,21047
11/06/1956,OH,Erie,Other,other,0,21047
11/06/1956,OH,Fairfield,Stevenson,democrat,8337,23984
11/06/1956,OH,Fairfield,Eisenhower,republican,15647,23984
11/06/1956,OH,Fairfield,Andrews,southern democrat,0,23984
11/06/1956,OH,Fairfield,Other,other,0,23984
11/06/1956,OH,Fayette,Stevenson,democrat,3449,10145
11/06/1956,OH,Fayette,Eisenhower,republican,6696,10145
11/06/1956,OH,Fayette,Andrews,southern democrat,0,10145
11/06/1956,OH,Fayette,Other,other,0,10145
11/06/1956,OH,Franklin,Stevenson,democrat,78852,230396
11/06/1956,OH,Franklin,Eisenhower,republican,151544,230396
11/06/1956,OH,Franklin,Andrews,southern democrat,0,230396
11/06/1956,OH,Franklin,Other,other,0,230396
11/06/1956,OH,Fulton,Stevenson,democrat,2622,11652
11/06/1956,OH,Fulton,Eisenhower,republican,9030,11652
11/06/1956,OH,Fulton,Andrews,southern democrat,0,11652
11/06/1956,OH,Fulton,Other,other,0,11652
